"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Energy-Efficient Federated Learning in Internet of Drones Networks","J. Yao; X. Sun","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Electrical and Computer Engineering, University of New Mexico, Albuquerque, NM, USA","2023 IEEE 24th International Conference on High Performance Switching and Routing (HPSR)","14 Jun 2023","2023","","","185","190","Internet of drones (IoD), where drones act as the Internet of things (IoT) devices, makes IoT networks much more flexible and responsive because of high mobility of drones. Machine learning (ML) techniques can be applied in IoD to facilitate multiple applications such as object tracking and traffic surveillance, where ML data samples are collected and analyzed in the edge servers at the ground base station (BS). However, aggregating all data samples incurs huge wireless network traffic and potential data privacy leakage. Federated learning (FL) is then proposed to address these challenges by performing local training in drones and aggregating model parameters at the BS without sharing raw data samples. The FL performance in IoD networks is greatly affected by limited drone batteries which power FL local training, wireless data transmission, and drones’ movements. This paper hence investigates the energy-efficient FL in IoD networks to optimize CPU frequencies of drones’ on-board computing units such that total energy consumption of all the drones in the FL process can be minimized, while satisfying the FL training time requirement. We formulate the problem as a non-linear programming problem and then design an algorithm with polynomial time complexity to derive the optimum solution. Extensive simulations are conducted to demonstrate the performance of our proposed algorithm.","2325-5609","978-1-6654-7640-9","10.1109/HPSR57248.2023.10147956","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10147956","Internet of Drones (IoD);federated learning;energy consumption;CPU control","Training;Time-frequency analysis;Energy consumption;Federated learning;Wireless networks;Programming;Energy efficiency","","","","","","19","IEEE","14 Jun 2023","","","IEEE","IEEE Conferences"
"Split Learning for Image Classification in Internet of Drones Networks","J. Yao","Department of Computer Science, Texas Tech University, Lubbock, TX, USA","2023 IEEE 24th International Conference on High Performance Switching and Routing (HPSR)","14 Jun 2023","2023","","","52","55","Internet of drones (IoD), where drones act as the Internet of things (IoT) devices, has attracted much attention for its application in traffic surveillance, object tracking, and disaster rescue. These applications rely heavily on machine learning (ML) techniques for image classification. The traditional method of training ML models in IoD networks involves sending all data to a centralized ground base station (BS), which can result in privacy and security concerns. Split learning, an approach that separates the training model into a client model and a server model, can mitigate these concerns by allowing the client model to reside in the drones while the server model is in the BS, preserving data privacy without sharing raw data. In this study, we explore the application of split learning in IoD networks and conduct simulations to evaluate our designed algorithm. Simulation results demonstrate that different separations do not significantly impact split learning accuracy, increasing the number of layers on clients can lead to longer training times, communication overhead is a significant bottleneck in split learning for IoD networks, client numbers do not significantly affect accuracy, and training time slightly increases with an increasing number of clients.","2325-5609","978-1-6654-7640-9","10.1109/HPSR57248.2023.10147979","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10147979","Internet of Drones (IoD);split learning;image classification","Training;Data privacy;Switches;Traffic control;Data models;Servers;Internet of Things","","","","","","12","IEEE","14 Jun 2023","","","IEEE","IEEE Conferences"
"Fabrication and Characterization of Flexible Solid-State MIM Supercapacitor with Inkjet-Printing of Stacked Ag NP and Polymer Dielectric Layers","M. R. Momota; T. Ferdous; T. Fujiwara; B. I. Morshed","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Chemistry, The University of Memphis, Memphis, TN, USA; Department of Chemistry, The University of Memphis, Memphis, TN, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","2023 IEEE 16th Dallas Circuits and Systems Conference (DCAS)","25 May 2023","2023","","","1","5","Electrification of vehicles and energy-storage needs of renewables and robotic devices including wearables, implantables, drones, and wireless sensors demands energy storage solution that is not achievable with current battery technology. In this paper, we present the proof-of-concept results of inkjet-printed (IJP) flexible supercapacitors to store energy and power devices for wearables and implantable, as well as other energy storage needs. We have developed a patent-pending technique of stacked Metal-Insulator-Metal (MIM) parallel plate capacitors to form supercapacitor with high energy density. The flexible supercapacitor was fabricated on a thin 25 µm flexible polyimide (PI) film. We have used silver (Ag) nanoparticle (NP) ink for printing the conductive layer and a polymer Poly(4-vinylphenol) ink for printing dielectric layer to fabricate insulation between metal plates. The area of the supercapacitors was 100 mm2. Six coatings of PVP dielectric were printed for proper insulation between two successive metal layers. The measured capacitance of a single MIM capacitor was 996 pF. The measured capacitance of two-stacked MIM capacitors on the same footprint was 1.98 nF. The thickness of two stacked MIM capacitor was 22.3 µm. By stacking more MIM capacitors on the same footprint, supercapacitors can be fabricated that can achieve high energy storage capability within a small footprint, weight, and volume. This IJP supercapacitor, which is flexible yet solid-state with high-performance and safe for long-term use, can play a significant role in wearables, implantable, drones, renewable energy storage, and electric vehicles.","","979-8-3503-9918-9","10.1109/DCAS57389.2023.10130228","National Science Foundation(grant numbers:2105766); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10130228","Energy storage;Inkjet-printing;Solid-state supercapacitor;Stacked MIM capacitor","Printing;Silver;Insulation;Renewable energy sources;Wearable computers;Supercapacitors;Capacitance","flexible electronics;ink jet printing;MIM devices;nanoparticles;polymer films;supercapacitors","Ag/int;capacitance 1.98 nF;capacitance 996.0 pF;conductive layer;current battery technology;dielectric layer;energy storage;flexible polyimide film;flexible solid-state MIM supercapacitor;IJP flexible supercapacitors;inkjet-printed flexible supercapacitors;inkjet-printing;patent-pending technique;polymer dielectric layers;polymer poly(4-vinylphenol) ink;power devices;renewable energy storage;robotic devices;silver nanoparticle ink;size 22.3 mum;size 25.0 mum;stacked metal-insulator-metal parallel plate capacitors;wireless sensors demands energy storage solution","","","","24","IEEE","25 May 2023","","","IEEE","IEEE Conferences"
"Design and Packaging of a Custom Single-lead Electrocardiogram (ECG) Sensor Embedded with Wireless Transmission","M. Rahman; R. Hewitt; B. I. Morshed","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Engineering Technology, University of Memphis, Memphis, TN, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","2023 IEEE 16th Dallas Circuits and Systems Conference (DCAS)","25 May 2023","2023","","","1","4","An embedded device is developed to acquire an electrocardiogram (ECG) signal by using only a single lead. The device is capable to capture the ECG signal of a human from the wrist or heart region and transmit data through Bluetooth low energy (BLE). The device includes a custom printed circuit board (PCB) for ECG acquisition. The custom PCB implements the AD 8232 chip for ECG calculation. The PCB is embedded with a commercial nRF52840 development board. Analog data from custom PCB is converted to the digital domain by using a 10-bit analog to digital converter (ADC) and transmitted through Bluetooth 5.3 both supplied by the development board. nRF52840 is 32 bit ARM® Cortex™ processing unit. The BLE data is transmitted by a baud rate of 115.2 kbps. The PCB is 2-layer (32 mm X 50 mm X 4 mm). The device is powered by a 350 mA-hr LiPo battery and consumes approximately 0.58 mA of current. With this current consumption, the battery would last around 603 hours. Finally, all parts are packaged in a box to make it compact and functional for body-worn uses. The device is a low-cost, low-weight design suitable for mobile health (mHealth) applications.","","979-8-3503-9918-9","10.1109/DCAS57389.2023.10130229","National Science Foundation(grant numbers:2105766); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10130229","electrocardiogram;printed circuit board;body-worn;mobile health","Wrist;Wireless communication;Wireless sensor networks;Tracking;Printed circuits;Electrocardiography;Packaging","","","","","","8","IEEE","25 May 2023","","","IEEE","IEEE Conferences"
"STUNNER: Radar Echo Extrapolation Model Based on Spatiotemporal Fusion Neural Network","W. Fang; L. Pang; V. S. Sheng; Q. Wang","School of Computer and Software, Engineering Research Center of Digital Forensics, Ministry of Education, Nanjing University of Information Science and Technology, Nanjing, China; School of Computer and Software, Engineering Research Center of Digital Forensics, Ministry of Education, Nanjing University of Information Science and Technology, Nanjing, China; Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Meteorological Cadre Training Institute, China Meteorological Administration, Beijing, China","IEEE Transactions on Geoscience and Remote Sensing","5 May 2023","2023","61","","1","14","Radar echo extrapolation based on deep learning is an important method for conducting precipitation nowcasting. Radar echo sequence data have spatiotemporal correlations and nonrigid movements of the radar echo. According to the characteristics of radar data, this study proposes a new spatiotemporal fusion neural network called STUNNER. STUNNER implements a two-stream spatiotemporal fusion strategy to extract and fuse spatial and temporal signals. Specifically, it uses a novel cross-network embedding method to achieve efficient spatiotemporal fusion; the fusion integrates a temporal differencing network (TDN) and a spatiotemporal trajectory network (STTN). The TDN models the high-order nonstationarity of the radar sequence to learn the motion trend. The STTN optimizes the convolution operator in a spatiotemporal long short-term memory model to extract the transient variations from the radar images. We compare STUNNER with the other five models on two public datasets. On the radar echo extrapolation task, STUNNER achieves the best performance.","1558-0644","","10.1109/TGRS.2023.3268187","National Natural Science Foundation of China(grant numbers:42075007,41975100); Bei Ji Ge Open Project of Nanjing Institute of Meteorological Science and Technology Innovation(grant numbers:BJG202306); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10103916","Dynamic convolution;high-order nonstationarity;precipitation nowcasting;radar echo extrapolation;two-stream spatiotemporal fusion","Radar;Radar imaging;Market research;Extrapolation;Convolution;Transient analysis;Spaceborne radar","convolutional neural nets;deep learning (artificial intelligence);extrapolation;feature extraction;image fusion;learning (artificial intelligence);neural nets;radar imaging;radar signal processing;recurrent neural nets;spatiotemporal phenomena","efficient spatiotemporal fusion;novel cross-network embedding method;radar data;radar echo extrapolation model;radar echo extrapolation task;radar images;radar sequence;sequence data;spatiotemporal correlations;spatiotemporal fusion neural network;spatiotemporal trajectory network;STUNNER;temporal differencing network;two-stream spatiotemporal fusion strategy","","","","31","IEEE","18 Apr 2023","","","IEEE","IEEE Journals"
"A Survey on BERT and Its Applications","S. Aftan; H. Shah","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department and College of Computer Science, King Khalid University, Abha, Saudi Arabia","2023 20th Learning and Technology Conference (L&T)","11 Apr 2023","2023","","","161","166","A recently developed language representation model named Bidirectional Encoder Representation from Transformers (BERT) is based on an advanced trained deep learning approach that has achieved excellent results in many complex tasks, the same as classification, Natural Language Processing (NLP), prediction, etc. This survey paper mainly adopts the summary of BERT, its multiple types, and its latest developments and applications in various computer science and engineering fields. Furthermore, it puts forward BERT's problems and attractive future research trends in a different area with multiple datasets. From the findings, overall, the BERT and their recent types have achieved more accurate, fast, and optimal results in solving most complex problems than typical Machine and Deep Learning methods.","","979-8-3503-0030-7","10.1109/LT58159.2023.10092289","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10092289","BERT;Machine Learning;Natural Language Processing model;bidirectional encoder","Deep learning;Computer science;Text mining;Text analysis;Bit error rate;Predictive models;Transformers","deep learning (artificial intelligence);learning (artificial intelligence);natural language processing;pattern classification;sentiment analysis","attractive future research trends;Bidirectional Encoder Representation;computer science;forward BERT's problems;Natural Language Processing;recent types;recently developed language representation model;solving most complex problems","","","","36","IEEE","11 Apr 2023","","","IEEE","IEEE Conferences"
"Deep Reinforcement Learning Assisted Client Selection in Non-orthogonal Multiple Access based Federated Learning","R. Albelaihi; A. Alasandagutti; L. Yu; J. Yao; X. Sun","University of New Mexico, Albuquerque, NM, USA; University of New Mexico, Albuquerque, NM, USA; University of New Mexico, Albuquerque, NM, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA; University of New Mexico, Albuquerque, NM, USA","IEEE Internet of Things Journal","","2023","PP","99","1","1","To reap the benefit of big data generated by the massive number of Internet of Things (IoT) devices while preserving data privacy, federated learning (FL) has been proposed to enable IoT devices to train machine learning models locally. That is, instead of sharing the local data sets, different clients in terms of IoT devices only need to upload their local models to a centralized FL server. Client selection in FL is critical to maximize the number of qualified clients, who can successfully upload their local models to the FL server before the predefined deadline. Normally, client selection is coupled with wireless resource management owing to the fact that different clients need to share the same spectrum to upload their local models. The existing solutions of joint optimizing client selection and resource management are designed based on frequency division multiple access (FDMA) or time division multiple access (TDMA), which do not consider the dynamics of the clients and lead to low bandwidth utilization. In this paper, we propose the Non-Orthogonal Multiple Access (NOMA) based resource allocation for client selection in FL to dynamically and jointly optimize client selection for each global iteration as well as the transmission power of each selected client in each time slot within a global iteration. We design the Deep Reinforcement lEarning based client selection in nonorthogonAl Multiple access based Federated Learning (DREAMFL) algorithm to solve the problem. Extensive simulations are conducted to demonstrate that DREAM-FL can select more qualified clients and has higher model accuracy than FDMA and TDMA-based solutions.","2327-4662","","10.1109/JIOT.2023.3264463","National Science Foundation(grant numbers:CNS-2148178); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10092890","Federated Learning;client selection;deep reinforcement learning;NOMA","Resource management;Bandwidth;Wireless communication;Data models;Internet of Things;Training;Servers","","","","","","","IEEE","5 Apr 2023","","","IEEE","IEEE Early Access Articles"
"Load Optimization Scheduling of Chip Mounter Based on Hybrid Adaptive Optimization Algorithm","X. Yan; H. Zuo; C. Hu; W. Gong; V. S. Sheng","School of Computer Science, China University of Geosciences, Wuhan, China; School of Computer Science, China University of Geosciences, Wuhan, China; School of Computer Science, China University of Geosciences, Wuhan, China; School of Computer Science, China University of Geosciences, Wuhan, China; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","Complex System Modeling and Simulation","9 Mar 2023","2023","3","1","1","11","A chip mounter is the core equipment in the production line of the surface-mount technology, which is responsible for finishing the mount operation. It is the most complex and time-consuming stage in the production process. Therefore, it is of great significance to optimize the load balance and mounting efficiency of the chip mounter and improve the mounting efficiency of the production line. In this study, according to the specific type of chip mounter in the actual production line of a company, a maximum and minimum model is established to minimize the maximum cycle time of the chip mounter in the production line. The production efficiency of the production line can be improved by optimizing the workload scheduling of each chip mounter. On this basis, a hybrid adaptive optimization algorithm is proposed to solve the load scheduling problem of the mounter. The hybrid algorithm is a hybrid of an adaptive genetic algorithm and the improved ant colony algorithm. It combines the advantages of the two algorithms and improves their global search ability and convergence speed. The experimental results show that the proposed hybrid optimization algorithm has a good optimization effect and convergence in the load scheduling problem of chip mounters.","2096-9929","","10.23919/CSMS.2022.0026","National Natural Science Foundation of China(grant numbers:U1911205,62073300,62076225); National Key Research and Development Program of China(grant numbers:2021YFB3301602); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10065396","Surface Mount Technology (SMT);chip mounter;load optimization scheduling;adaptive genetic algorithm;ant colony algorithm","Adaptation models;Surface mount technology;Production;Scheduling;Hybrid power systems;Task analysis;Optimization","ant colony optimisation;assembling;genetic algorithms;resource allocation;scheduling;search problems;surface mount technology","adaptive genetic algorithm;chip mounter;convergence speed;global search ability;hybrid adaptive optimization algorithm;improved ant colony algorithm;load balance optimization;load optimization scheduling;load scheduling problem;production efficiency;production line;production process;surface-mount technology;workload scheduling","","","","40","","9 Mar 2023","","","TUP","TUP Journals"
"Fabrication and Characterization of Inkjet Printed Flexible Dry ECG Electrodes","M. M. R. Momota; B. I. Morshed; T. Ferdous; T. Fujiwara","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Chemistry, University of Memphis, Memphis, TN, USA; Department of Chemistry, University of Memphis, Memphis, TN, USA","IEEE Sensors Journal","31 Mar 2023","2023","23","7","7917","7928","Commercial gel ECG electrodes have a limited lifetime of operation and metal dry electrodes are rigid and noisy. In this study, we developed flexible dry ECG electrodes in different shapes and sizes using an inkjet printing (IJP) technology. As an additive manufacturing technique, IJP provides the flexibility to personalize the shape and size of electrodes with rapid prototyping. IJP ECG electrodes were fabricated on flexible polyimide substrates using silver nanoparticle inks for the conductive layer and a custom polymer ink of poly(4-vinylphenol) (PVP) for the insulator layer. The maximum and minimum diameters of the electrodes were 21 and 9 mm, respectively. The thickness of IJP electrodes was 2 ± 0.5  $\mu \text{m}$ . Various tests were performed for feasibility, including changing electrode position, and subject’s activity such as resting, standing, and walking using IJP ECG electrodes simultaneous with clinical standard gel electrodes, which provides an accurate comparison. Compared to the gel electrode, the circular shape IJP electrode was more promising than rectangular and square shapes as it showed more coherence to the gel electrode. IJP electrodes with different diameters were compared along with the gel electrode and the result demonstrated that the IJP electrode with a diameter of 21, 19, and 16 mm shows almost similar performance as the gel electrode. Considering ECG signal quality, IJP electrode with a diameter of 19 mm was the optimal size. These IJP dry electrodes can be usable in ECG wearable as it is flexible, reusable, and can be used for a long time.","1558-1748","","10.1109/JSEN.2023.3250103","National Science Foundation (NSF)(grant numbers:CNS-1932281); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10064144","Dry electrodes;ECG monitoring;flexible;inkjet printing (IJP);silver nanoparticle ink;wearable sensors","Electrodes;Electrocardiography;Ink;Silver;Printing;Monitoring;Shape","biomedical electrodes;electrocardiography;ink jet printing;medical signal processing;nanoparticles;polymer films;rapid prototyping (industrial);silver;three-dimensional printing","additive manufacturing technique;circular shape IJP electrode;clinical standard gel electrodes;commercial gel ECG electrodes;conductive layer;ECG signal quality;electrode position;flexible polyimide substrates;IJP ECG electrodes;inkjet printed flexible dry ECG electrodes;inkjet printing technology;insulator layer;metal dry electrodes;poly(4-vinylphenol);polymer ink;rapid prototyping;resting;silver nanoparticle inks;size 16.0 mm;size 19.0 mm;size 21.0 mm;size 9.0 mm;standing;walking","","","","43","IEEE","8 Mar 2023","","","IEEE","IEEE Journals"
"Feature-Level Deeper Self-Attention Network With Contrastive Learning for Sequential Recommendation","Y. Hao; T. Zhang; P. Zhao; Y. Liu; V. S. Sheng; J. Xu; G. Liu; X. Zhou","Institute of Artificial Intelligence, School of Computer Science and Technology, Soochow University, Suzhou, China; Huawei Technologies Co., Ltd, Nanjing, China; Institute of Artificial Intelligence, School of Computer Science and Technology, Soochow University, Suzhou, China; Rutgers University, New Brunswick, NJ, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Institute of Artificial Intelligence, School of Computer Science and Technology, Soochow University, Suzhou, China; Macquarie University, Sydney, Australia; Hong Kong University of Science and Technology, Hong kong, China","IEEE Transactions on Knowledge and Data Engineering","","2023","PP","99","1","13","Sequential recommendation, which aims to recommend next item that the user will likely interact in a near future, has become essential in various Internet applications. Existing methods usually consider the transition patterns between items, but ignore the transition patterns between features of items. We argue that only the item-level sequences cannot reveal the full sequential patterns, while explicit and implicit feature-level sequences can help extract the full sequential patterns. Meanwhile, the item-level sequential recommendation also suffers from limited supervised signal issues. In this paper, we propose a novel model Feature-level Deeper Self-Attention Network with Contrastive Learning (FDSA-CL) for sequential recommendation. Specifically, FDSA-CL first integrates various heterogeneous features of items into feature-level sequences with different weights through a vanilla attention mechanism. After that, FDSA-CL applies separated self-attention blocks on item-level sequences and feature-level sequences, respectively, to model item transition patterns and feature transition patterns. Moreover, we propose contrastive learning and item feature recommendation tasks to capture the embedding commonality and further utilize the beneficial interaction among the two levels, so as to alleviate the sparsity of the supervised signal and extract the most critical information. Finally, we jointly optimize the above tasks. We evaluate the proposed model using two real-world datasets and experimental results show that our model significantly outperforms the state-of-the-art approaches.","1558-2191","","10.1109/TKDE.2023.3250463","NSFC(grant numbers:61876117,62176175); Universities of Jiangsu Province(grant numbers:21KJA520004); Suzhou Science and Technology Development Program(grant numbers:SYC2022139); Postgraduate Research and Practice Innovation Program of Jiangsu Province(grant numbers:KYCX-223198); Priority Academic Program Development of Jiangsu Higher Education Institutions; Exploratory Self-selected Project of the State Key Laboratory of Software Development Environment; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10059216","Contrastive learning;feature-level patterns;item-level patterns;self-attention network;sequential recommendation","Task analysis;Behavioral sciences;Feature extraction;Markov processes;Data mining;Long short term memory;Self-supervised learning","","","","","","","IEEE","6 Mar 2023","","","IEEE","IEEE Early Access Articles"
